id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count
27,서울특별시 종로구 종로1가,종로구,종로1가,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1
28,서울특별시 종로구 공평동,종로구,공평동,0.0,0.0,0.0,0.21,0.13,0.12,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,1,0,0,0,0,3
29,서울특별시 종로구 관훈동,종로구,관훈동,0.0,0.0,0.0,0.0,0.13,0.5,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,4,0,0,0,0,5
30,서울특별시 종로구 견지동,종로구,견지동,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1
31,서울특별시 종로구 와룡동,종로구,와룡동,0.0,0.0,0.0,0.21,0.13,0.12,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,1,0,0,0,0,3
32,서울특별시 종로구 권농동,종로구,권농동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0
33,서울특별시 종로구 운니동,종로구,운니동,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,0,0,0,0,2
34,서울특별시 종로구 익선동,종로구,익선동,0.0,0.0,0.0,0.21,0.13,0.12,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,1,0,0,0,0,3
35,서울특별시 종로구 경운동,종로구,경운동,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1999.0,1899.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1
36,서울특별시 종로구 관철동,종로구,관철동,0.0,0.0,0.0,0.85,0.27,0.25,0.87,0.0,0.0,0.0,2.24,0.0,0.0,0.0,3690,3913,106.0,0,0,0,4,2,2,2,0,0,0,10
37,서울특별시 종로구 인사동,종로구,인사동,0.0,0.0,0.0,0.21,0.13,0.0,0.43,0.0,0.0,0.0,0.78,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,0,1,0,0,0,3
38,서울특별시 종로구 낙원동,종로구,낙원동,0.0,0.0,0.0,0.43,0.4,0.12,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,3,1,0,0,0,0,6
39,서울특별시 종로구 종로2가,종로구,종로2가,0.0,1.25,3.33,0.21,0.13,0.12,0.87,0.0,0.0,0.0,5.92,0.0,0.0,0.0,3690,3913,106.0,0,1,1,1,1,1,2,0,0,0,7
40,서울특별시 종로구 팔판동,종로구,팔판동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0
41,서울특별시 종로구 삼청동,종로구,삼청동,0.0,0.0,0.0,0.0,0.13,0.12,0.43,0.0,0.0,0.0,0.69,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,1,0,0,0,3
42,서울특별시 종로구 안국동,종로구,안국동,3.33,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,3690,3913,106.0,1,0,0,1,0,0,0,0,0,0,2
43,서울특별시 종로구 소격동,종로구,소격동,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,0,0,0,0,1
44,서울특별시 종로구 화동,종로구,화동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0
45,서울특별시 종로구 사간동,종로구,사간동,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1
46,서울특별시 종로구 송현동,종로구,송현동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0
47,서울특별시 종로구 가회동,종로구,가회동,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,0,0,0,0,2
48,서울특별시 종로구 재동,종로구,재동,0.0,0.0,0.0,0.0,0.0,0.12,0.43,0.0,0.0,0.0,0.56,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,1,0,0,0,2
49,서울특별시 종로구 계동,종로구,계동,0.0,0.0,0.0,0.0,0.13,0.12,0.43,0.0,0.0,0.0,0.69,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,1,0,0,0,3
50,서울특별시 종로구 원서동,종로구,원서동,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,2,0,0,0,0,0,2
51,서울특별시 종로구 훈정동,종로구,훈정동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0
52,서울특별시 종로구 묘동,종로구,묘동,0.0,0.0,0.0,0.21,0.27,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,2,0,0,0,0,0,3
53,서울특별시 종로구 봉익동,종로구,봉익동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0
54,서울특별시 종로구 돈의동,종로구,돈의동,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,5.0,5.43,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,0,0,0,0,0,1,3
55,서울특별시 종로구 장사동,종로구,장사동,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,0,0,0,0,1
56,서울특별시 종로구 관수동,종로구,관수동,0.0,0.0,0.0,0.43,0.13,0.25,0.87,0.0,0.0,0.0,1.68,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,1,2,2,0,0,0,7
57,서울특별시 종로구 종로3가,종로구,종로3가,3.33,0.0,0.0,0.0,0.27,0.0,0.43,0.0,0.0,0.0,4.03,0.0,0.0,0.0,3690,3913,106.0,1,0,0,0,2,0,1,0,0,0,4
58,서울특별시 종로구 인의동,종로구,인의동,0.0,0.0,0.0,0.43,0.0,0.12,0.43,0.0,0.0,0.0,0.99,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,0,1,1,0,0,0,4
59,서울특별시 종로구 예지동,종로구,예지동,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1
