,Unnamed: 0,id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count,first,second,third,first_mapx,first_mapy,second_mapx,second_mapy,third_mapx,third_mapy,elementary_count,middle_count,high_count,park_count,station
156,156,156,서울특별시 중구 정동,중구,정동,0.0,0.0,0.0,0.43,0.13,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,4030,2679,66.5,0,0,0,2,1,0,0,0,0,0,3,안암동2가,장교동,수표동,37.586638,127.022973,37.567116,126.98719299999999,37.567358,126.989674,1,1,1,3,['시청역 1호선']
157,157,157,서울특별시 중구 순화동,중구,순화동,0.0,0.0,3.33,0.21,0.67,0.62,0.87,0.0,0.0,0.0,5.71,0.0,0.0,0.0,4030,2679,66.5,0,0,1,1,5,5,2,0,0,0,14,신설동,오금동,하계동,37.575204,127.026023,37.503984,127.135124,37.63689,127.073145,0,0,1,2,[]
158,158,158,서울특별시 중구 의주로1가,중구,의주로1가,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,4030,2679,66.5,0,0,0,1,0,0,0,0,0,0,1,동선동5가,영천동,토정동,37.596185,127.016726,37.570759,126.96046000000001,37.54035,126.940474,0,0,0,1,[]
159,159,159,서울특별시 중구 충정로1가,중구,충정로1가,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.43,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,0,0,1,0,0,0,1,현저동,묵정동,남영동,37.576485999999996,126.95421999999999,37.561401000000004,127.00087099999999,37.542934,126.97341000000002,0,0,0,0,[]
160,160,160,서울특별시 중구 중림동,중구,중림동,0.0,0.0,0.0,0.43,0.4,0.38,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,4030,2679,66.5,0,0,0,2,3,3,0,0,0,0,8,양평동2가,상월곡동,명륜4가,37.52427,126.884578,37.606722999999995,127.04839299999999,37.582225,127.00000800000001,0,0,0,1,[]
161,161,161,서울특별시 중구 의주로2가,중구,의주로2가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,0,0,0,0,0,0,0,0,용산동4가,용산동3가,0.0,0.0,37.534964,126.986876,37.533189,126.974319,0,0,0,2,[]
162,162,162,서울특별시 중구 만리동1가,중구,만리동1가,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,0,1,0,0,0,0,1,동소문동3가,삼선동3가,구수동,37.590052,127.01081599999999,37.586298,127.01280200000001,37.545679,126.932695,0,0,1,0,[]
163,163,163,서울특별시 중구 만리동2가,중구,만리동2가,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,2,0,0,0,0,0,2,응봉동,외발산동,과해동,37.551169,127.031462,37.546721000000005,126.821871,37.560660999999996,126.794953,1,1,1,1,[]
164,164,164,서울특별시 용산구,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,[]
165,165,165,서울특별시 용산구 후암동,용산구,후암동,0.0,1.25,0.0,0.64,0.67,0.62,0.0,0.0,0.0,0.0,3.18,2297.0,1955.14,1865.14,3411,2543,74.6,0,1,0,3,5,5,0,0,0,0,14,이촌동,강일동,아현동,37.524133,126.96198700000001,37.569204,127.17161999999999,37.555483,126.955998,2,1,0,1,[]
