,address,gu,dong,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count
456,서울특별시 강남구 개포동,강남구,개포동,0,1,0,15,6,11,0,0,0,0,33
457,서울특별시 강남구 청담동,강남구,청담동,1,0,2,6,16,20,6,0,0,0,51
458,서울특별시 강남구 삼성동,강남구,삼성동,3,0,1,15,24,33,10,0,1,0,87
459,서울특별시 강남구 대치동,강남구,대치동,1,0,2,28,25,35,10,0,0,0,101
460,서울특별시 강남구 신사동,강남구,신사동,2,0,1,22,27,36,8,0,0,2,98
461,서울특별시 강남구 논현동,강남구,논현동,3,1,3,25,34,49,9,1,0,0,125
462,서울특별시 강남구 압구정동,강남구,압구정동,0,0,0,0,2,7,0,0,0,0,9
463,서울특별시 강남구 세곡동,강남구,세곡동,0,1,0,1,2,3,0,0,0,0,7
464,서울특별시 강남구 자곡동,강남구,자곡동,0,0,0,0,4,6,0,0,0,0,10
465,서울특별시 강남구 율현동,강남구,율현동,0,0,0,0,1,1,0,0,0,0,2
466,서울특별시 강남구 일원동,강남구,일원동,0,1,0,4,10,6,0,0,0,0,21
467,서울특별시 강남구 수서동,강남구,수서동,0,1,1,7,5,4,2,0,0,0,20
468,서울특별시 강남구 도곡동,강남구,도곡동,0,0,1,11,13,13,3,0,0,0,41
469,서울특별시 송파구,,,0,0,0,0,0,0,0,0,0,0,0
470,서울특별시 송파구 잠실동,송파구,잠실동,1,8,1,21,17,33,3,0,0,0,84
471,서울특별시 송파구 신천동,송파구,신천동,1,3,0,12,10,4,4,1,0,0,35
472,서울특별시 송파구 풍납동,송파구,풍납동,0,0,0,4,3,10,0,0,0,0,17
473,서울특별시 송파구 송파동,송파구,송파동,1,1,1,8,8,12,3,0,0,0,34
474,서울특별시 송파구 석촌동,송파구,석촌동,0,0,0,11,8,13,1,0,0,0,33
475,서울특별시 송파구 삼전동,송파구,삼전동,0,1,0,7,7,11,1,0,0,0,27
476,서울특별시 송파구 가락동,송파구,가락동,1,0,0,14,15,18,4,0,0,0,52
477,서울특별시 송파구 문정동,송파구,문정동,0,4,2,21,24,26,6,0,1,1,85
478,서울특별시 송파구 장지동,송파구,장지동,1,1,1,8,3,8,1,0,0,0,23
479,서울특별시 송파구 방이동,송파구,방이동,0,1,2,13,17,26,5,0,0,0,64
480,서울특별시 송파구 오금동,송파구,오금동,0,1,0,9,9,7,1,0,0,0,27
481,서울특별시 송파구 거여동,송파구,거여동,0,0,1,4,6,7,0,0,0,0,18
482,서울특별시 송파구 마천동,송파구,마천동,0,1,0,3,6,5,0,0,0,0,15
483,서울특별시 강동구,,,0,0,0,0,0,0,0,0,0,0,0
484,서울특별시 강동구 명일동,강동구,명일동,0,1,1,6,10,9,2,0,0,0,29
485,서울특별시 강동구 고덕동,강동구,고덕동,0,0,0,2,4,3,0,0,0,0,9
486,서울특별시 강동구 상일동,강동구,상일동,1,1,0,5,3,4,1,0,0,0,15
487,서울특별시 강동구 길동,강동구,길동,0,0,1,15,13,13,2,0,0,0,44
488,서울특별시 강동구 둔촌동,강동구,둔촌동,1,0,0,4,5,7,0,0,0,0,17
489,서울특별시 강동구 암사동,강동구,암사동,0,1,0,5,13,14,1,0,0,0,34
490,서울특별시 강동구 성내동,강동구,성내동,1,1,3,12,20,24,4,1,1,0,67
491,서울특별시 강동구 천호동,강동구,천호동,1,1,0,22,22,25,2,0,0,1,74
492,서울특별시 강동구 강일동,강동구,강일동,0,1,0,3,4,5,0,0,0,0,13
